,,ZTV - Dodatni tehnički uvjeti ugovora,"1.) Dodatni ugovoreni tehnički uvjeti dio su troškovnika te u slučaju ugovaranja postaju dio ugovora. Izvođač radova se dakle obavezuje na sve radove i primjene koje proizlaze iz ovih uvjeta te su one uračunate u cijenu, ukoliko nisu zasebno ponuđene.

2.) Cijene stavki se prikazuju kao neto iznos u državnoj valuti. Važeći zakonski propisani porez na dodanu vrijednost obračunava se zasebno.

3.) U slučaju proturječnosti dodatnih ugovorenih tehničkih uvjeta vrijede prvenstveno podaci iz troškovnika. U slučaju proturječnosti između troškovnika i tehničke dokumentacije koja se predaje prilikom natječaja, vrijedi tehnička dokumentacija.

4.) Prije početka davanja ponude, ponuditelj je dužan pažljivo pročitati kompletan tekst općih uvjeta uz troškovnik, općih i posebnih uvjeta uz svaku grupu radova, tekst samog troškovnika i ostale dijelove tehničke dokumentacije. Ako opis bilo koje stavke u troškovniku dovodi do sumnje o načinu izvedbe ili upotrebu gradiva zahtijevane kvalitete, treba prije predaje ponude zatražiti pojašnjenje od ovlaštene osobe Investitora. Naknadno pozivanje na manjkavost ili nepoznavanje projektno-tehničke dokumentacije ili opisa u troškovniku neće se uzeti u obzir, niti smatrati razlogom za produženje roka izvedbe, a niti će se priznati bilo kakva razlika u cijeni s tog naslova.

5.) Tehnička dokumentacija koja se predaje prilikom natječaja informativnog je karaktera, a ponuđač je dužan u svom trošku izvršiti kontrolu projektno tehničke dokumentacije u smislu točnosti, tehničke ispravnosti, izvedivosti i međusobne usklađenosti. Sve eventualne primjedbe ponuditelj/izvoditelj dužan je pravovremeno uz ponudu, a u svakom slučaju prije izvedbe u pisanom obliku dostaviti Nadzoru i Naručitelju

6.) Ponuditelj je dužan provesti i kontrolu lokacije na licu mjesta prije davanja ponude. Jedinične cijene za pojedine vrste radova sadrže i sve one posredne troškove koji nisu iskazani u troškovniku, ali su neminovni za izvršenje radova predviđenih projektom.

7.) Organizacija gradilišta uračunata je u cijenu, ukoliko nije ponuđena kao zasebna stavka.

8.) Dizalice za podizanje, skele, strojevi, alati, pomoćna sredstva i konstrukcije uzeti su u obzir te su uračunati u jediničnu cijenu.

9.) Skele za radove na fasadi i radove na krovu predmet su ovog natječaja. Ponuditelj smije koristiti postojeće skele uz poštivanje sigurnosnih uvjeta i na vlastitu odgovornost. Preinake na skelama nisu dozvoljene te se one moraju predati u ispravnom stanju u kojem su i preuzete.

10.) Kompletnu režiju gradilišta usigurava i rješava ponuditelj/izvođač i i uključena je u jediničnu cijenu.

11.) Ponuditelj je obvezan redovno prikupljati i ,pravilno skladištiti i odvoziti na ovlašteni deponij sve otpadne materijale, ostatke, krhotine, građevinski otpad, ambalaže, obični otpad i slično o vlastitom trošku. Kod odlaganja otpada potrebno je pridržavati se svih javnopravnih uputa i propisa.

12.) Onečišćenja koja uslijed radova nastaju na susjednim terenima, zgradama, putovima, cestama, trgovima i slično, izvođač radova treba svakodnevno čistiti.

13.) Izvođač preuzima odgovornost za osiguravanje, skladištenje i spremanje vlastite građevinske opreme, strojeva, uređaja, alata i slično. Jednako vrijedi i za građevinske materijale, elemente i za ugradnju određenih uređaja i objekata sve do primopredaje obavljenih građevinskih radova.

14.) Prilikom izvođenja radova, izvoditelj treba zaštititi sve susjedne plohe, dijelove konstrukcije i prethodno izvedene radove na prikladan način a u skladu sa pravilima zaštite na radu, tako da ne dođe do oštećenja istih. Troškove zaštite treba izvoditelj ukalkulirati u ponudbenu cijenu izvođenja radova. Ukoliko ipak dođe do oštećenja prethodno izvedenih radova za koje je odgovoran izvoditelj ili njegov kooperant, dužan je iste o svom trošku dovesti u stanje prije oštećenja ili naručiti iste radove kod drugog izvoditelja na svoj teret.

15.) Sve potrebne mjere prema javnopravnim uputama i propisima za sigurnost i zaštitu zdravlja trebaju se uzeti u obzir te ih se treba pridržavati prilikom izvođenja radova.

16.) Prilikom davanja ponude i izvođenja radova treba se uzeti u obzir, uračunati i pridržavati se
- svih državnih i javnopravnih zakona, smjernica i propisa
- svih odgovarajućih tehničkih standarda, pravila i smjernica
- općeprihvaćenih pravila tehnike
- uputa, propisa i napomena proizvođača za ugradnju i obradu
- Kauflandovih građevinskih opisa, ugovorenih uvjeta i ostalih Kauflandovih dokumenata i planova.

17.) Stavke troškovnika obuhvačaju konačno dovršenje radova definiranih po količini i kvaliteti, onosno podrazumijevaju se kao gotove, potpune i funkcionirajuće, uklj. sve potrebne male dijelove i sredstva za pričvršćivanje, pomoćne materijale i sredstva, podkonstrukcije itd., kao i sve dodatne i posebne usluge - čak i kada one nisu detaljno opisane.

18.) Ako su treće stranke uključene u izvođenje predradnji, izvođač radova ih treba provjeravati. U slučaju nepravilnosti ili prigovora pravovremeno treba informirati naručitelja, tako da može tehnički i organizacijski dovršiti poslove.

19.) Obavezno se treba pridržavati svih Kauflandovih proizvodnih uputa, osim ako postoje opravdani razlozi za odstupanje (npr. dostupnost). U tom slučaju izvođač treba ponuditi istovjetni proizvod ili sustav te potvrditi istovjetnost. O njoj odlučuje naručitelj.

20.) Sustavi se izvode isključivo pomoću komponenata koje su predviđene od strane proizvođača sustava.

21.) Svi materijali, građevinski elementi i uređaji koji neposredno utječu na izgled i funkcionalnost prije ugradnje se trebaju provjeriti. Ugrađuju se tek nakon što naručitelj ili ovlaštena osoba odobri ugradnju na gradilištu. O vrsti i obliku uzorka odlučuje naručitelj.

22.) Ako nije drukčije propisano, izmjene postojećih projektnih rješenja od strane ponuditelja/izvođača a koje utječu na mehaničku stabilnost, ponuditelj/izvođač je dužan u svom trošku ishoditi sve suglasnosti, dozvole i sl.
Projekt izvedenog stanja ukalkulirati u jedničnu cijenu te dostaviti Kauflandu u pisanom i digitalnom obliku.

23.) Svi radovi na objektu te primjenjeni sistemi gradnje moraju biti izvedeni prema pravilu struke, odnosnu u granicama dopuštenih tolerancija.

24.) Ukoliko je ugovoreni termin izvršenja objekta uključen i zimski odnosno ljetni period, to se neće posebno izvođaču priznavati na ime naknade za rad pri niskoj temperaturi, zaštita konstrukcija od hladnoće i vrućine, te atmosferskih nepogoda, sve mora biti uključeno u jediničnu cijenu. Za vrijeme zime objekat se mora zaštititi. Svi eventualni smrznuti dijelovi moraju se ukloniti i izvesti ponovo bez bilo kakve naplate. Ukoliko je temperatura niža od temperature pri kojoj je dozvoljen dotični rad, a Investitor ipak traži da se radi, Izvođač si ima pravo zaračunati naknadu po normi 6,006 ali u tom slučaju Izvođač snosi punu odgovornost za ispravnost i kvalitetu rada. To isto vrijedi i za zaštitu radova tokom ljeta od prebrzog sušenja uslijed visoke temperature.

25.) U jediničnu cijenu rada izvođač treba obuhvatiti i slijedeće radove, koji se neće zasebno platiti kao naknadni rad, čak i ako nisu izričito navedenei u troškovniku:
- sve vrste transporta građevinskih materijala, elemenata, uređaja, objekata itd. do mjesta ugradnje
- potrebne i uobičajene pripreme i predobrade tla
- sve vrste bušenja, zavarivanja, lijepljenja, malih dijelova, sredstava za pričvršćivanje, međupoložaja, izolacije, brtvljenja, folija, spojeva itd. koje su potrebne za priključak, montažu i pričvršćivanje građevinskih dijelova i elemenata
- stručna priprema i priključak na sve okolne dijelove, ugradbene i nadgradne elemente i propuste
- sve izrade kutova, spojnih površina i elemenata, završnih elemenata, slobodnih krajeva itd.
- sve podloge za montažu, priključak i pričvršćivanje kao što su beton, zidani elementi, čelik, aluminij, limovi, gips karton, itd.
- potrebne spojne, kose i okrugle rezove te ostatke rezanja
- Izrada otvora i proreza za instalacije i ugradbene elemente drugih izvođača
- interno povezivanje kablovima i priključak objekata, dovod prema električnim trošilima na gradilištu od strane elektro izvođača",,,,,,,
,,Dodatne opće informacije,"Ukoliko unutar opisa stavke nije navedeno drukčije, jediničnom cijenom obuhvatiti i:
- Proizvodnju odnosno dostavu
- Sastavljanje odnosno montažu
- Priključak
- Pripravnost i održavanje tijekom cijelog perioda izvođenja radova ili tijekom trajanja pojedine mjere
- Rastavljanje nakon završetka građevinske ili pojedine mjere, nakon što više nema potrebe ili nakon naredbe naručitelja
- Odvoz odnosno odlaganje
- sanitarni kontejner",,,,,,,
201.010,,Opći objekt na gradilištu,,,,,0,,,
201.010.00100,,- Općenita organizacija gradilišta,"Općenita organizacija gradilišta za sve radove koje su navedene u ovom troškovniku ili samo za one koje se odnose na izvođača, tijekom cijelog trajanja građevinskih radova do primopredaje, sastoji se od:
- Pripreme i izrade potrebnih pristupnih puteva unutar gradilišta i na spoju sa postojećom infrastrukturom, skladišnih površina i površina za postavljanje kontejnera na gradilištu
- Osiguravanja pristupa i izlaza s gradilišta, ishođenja svih potrebnih javnopravnih dozvola i realizacije odgovarajućih mjera i propisa
- Uređaja, kranova, dizala, alata i pomoćnih sredstava, itd. koji su potrebni za izvođenje radova izvođača i podizvođača.
- Skela, dizalica, radnih platformi, itd. koji su potrebni za izvođenje radova izvođača i podizvođača - ukoliko nisu zasebno navedeni u opisu stavke
- Čišćenja prometnih putova na terenu, javnih prometnica i pješačkih putova na terenu od nečistoća odnosno onečišćenja koje proizlaze iz radova, svakodnevno ili po potrebi
- Sigurnosnih prometnih mjera, pogotovo na prometnim putovima na terenu, javnim prometnicama i pješačkim putovima na terenu, uklj. čišćenje snijega
- Dnevnih smještaja, sanitarnih čvorova, kontejnera za skladištenje radnog materijala i alata za izvođača i njegove podizvođače
- Uklanjanje oštećenja koje nastaje tijekom izvođenja radova na susjednim ili javnim terenima, cestama, pješačkim putovima, itd.
- pribavljanja i pripreme dodatnih površina za organizaciju gradilišta koje će se nakon završetka radova ponovo vratiti u prvotno stanje - ukoliko površine koje je pripremio naručitelj nisu dovoljne
- Svih sigurnosnih mjera koje su potrebne prema državnim zakonskim propisima, kao što su pregrade, zaštite od propadanja ili pada, kako bi se osigurala opasna područja
- Izrade stepenica za hitne slučajeve, platforma, itd., kako bi se osigurao siguran pristup svim područjima na gradilištu
- Imenovanja voditelja gradilišta i osobe odgovorne za sigurnost na radu u skladu s državnim zakonskim propisima za sve usluge naručitelja i njegovih podizvođača
- Mjera za sprječavanje nezgoda na terenu, susjednim terenima, javnim prometnicama i putovima za kupce
- Oprema za prvu pomoć u skladu s javnopravnim propisima za naručitelja i sve njegove podizvođače te za treće stranke i naručitelja
- dodatne usluge i mjere koje su potrebne prema državnim zakonskim propisima i javnopravnim uputama
- Planiranje i provedba mogućih potrebnih mjera za sprječavanje buke",1,paušal,,,,0,
201.020,,Opskrba strujom i vodom na gradilištu,,,,,0,,,
201.020.00100,,- mrežno napajanje,"Potpuno spreman sustav opskrbe struje na gradilištu koji se sastoji od:
- Priključni ormar
- Ormara s brojilom
- Razvodi struje za gradilište (minimalno 6 x 16A/230V, 2 x 16A/400V, 1 x 32A/400V)
- Priključnih vodova
uklj. usklađivanje s distributerima, mrežne i priključne troškove, potrošnju i redovne tehničke provjere.
Izvedba u vanjskim prostorima s 2 komada, u unutarnjim prostorima na svakom katu na maksimalnoj udaljenosti od 50 m na vanjskom zidu te za opskrbu kontejnera.
Priključak na javnu mrežu s maksimalnim razmakom od 50 m počevši od granice terena.",1,paušal,,,,0,
201.020.00110,,- gradilišna vodoopskrba,"Potpuno spreman sustav opskrbe vode na gradilištu koji se sastoji od:
- Brojila za vodu
- Mjesta za crpljenje
- Priključnih vodova
uklj. usklađivanje s distributerima, mrežne i priključne troškove te potrošnju.
Izvedba u vanjskim i unutarnjim prostorima s po 2 komada kao i za opskrbu kontejnera.
Priključak na javnu mrežu s maksimalnim razmakom od 10 m počevši od granice terena.",1,paušal,,,,0,
201.030,,Gradilišna rasvjeta,,,,,0,,,
201.030.00100,,- unutarnja rasvjeta zgrade,"Potpuno spreman sustav rasvjete u zgradi koji se sastoji se od:
- Svjetiljki
- Električne mreže
- prema potrebi dodatnih razvodnih kutija
- Upravljačkog sustava rasvjete
za rasvjetu cestovnih priključaka i svih drugih područja koje bez rasvjete nije moguće koristiti na siguran način. Intenzitet rasvjete u skladu s državnim propisima.",1,paušal,,,,0,
201.030.00105,,- Vanjska rasvjeta zgrade,"Potpuno spreman sustav rasvjete u vanjskim prostorima koji se sastoji se od:
- Svjetiljki
- Električne mreže
- prema potrebi dodatnih razvodnih kutija
- Upravljačkog sustava rasvjete
za rasvjetu kolnih prilaza, cestovnih priključaka i svih drugih područja koje bez rasvjete nije moguće koristiti na siguran način. Intenzitet rasvjete u skladu s državnim propisima.
-Drveni impregnirani rasvjetni stup od 8m na rubu parcele (Kapelska ulica)- 3 kom. Stavka uključuje dobavu i montažu. Rasvjetno tijelo dobavlja naručitelj",1,paušal,,,,0,
201.040,,Građevinski kontejner,,,,,0,,,
201.040.00105,,- kontejner za ured / sastanak,"Minimalna oprema kombiniranog kontejnera za ured / sastanke koji koristi isključivo naručitelj uključuje:
- Ulazna vrata izvedena kao sigurnosna vrata s bravom
- Prozor izveden kao sigurnosni prozor s preklopnim zastorima ili roletama
- Rasvjeta
- električno grijanje
- Telefonski i faks priključak, telefon i faks, pisač u boji / fotokopirni uređaj do DIN A3
- Mala kuhinja sa sudoperom, hladnjakom, 2 električne ploče i bojlerom
- Pojedinačni zahod s umivaonikom, ogledalom, držačem, kukicom za ručnik i bojlerom
- 2 radna mjesta s radnim stolom, lampom, pomoćnim stolićem, ormarom s bravom i okretnom stolicom na kotačima
- Prostor za sastanke s 4 stola, 10 stolica, 2 ormara za dokumente, flipchart pločom i magnetskim zidom
- Letve za pričvršćivanje planova s magnetima
Održavanje uključuje tjedno čišćenje i punjenje potrošnih materijala (zahod i uredski uređaji). Potrošnja vode, otpadnih voda i struje treba biti uračunata u troškove opskrbe struje odnosno vode na gradilištu.",1,kom,,,,0,
201.050,,Građevinski znak,,,,,0,,,
201.050.00110,,"- građevinska tabla tip 3; 5,0x2,8m","Građevinska tabla tipa 3, sastoji se od:
- Glavne ploče, dimenzije 5,0 x 2,8 m, od Dibond aluminija, otporna na savijanje
- Dodatne ploče, dimenzije 5,0 x 0,8 m, od Dibond aluminija, otporna na savijanje
- Dodatne ploče, dimenzije 5,0 x 0,5 m, od Dibond aluminija, otporna na savijanje
- Teksta i grafike, otporni na UV zrake i vremenske uvjete s postojanim bojama
- Sadržaj i tlocrt prema uputama i odobrenju naručitelja
- Temelja i podkonstrukcija prema odabiru izvođača, čvrsti i otporni na olujne uvjete, jednostavno skidanje
Način postavljanja i skidanja te lokacija plakata dogovaraju se s Kauflandom.",1,kom,,,,0,
201.060,,Ograda gradilišta,,,,,0,,,
201.060.00100,,- građevinska ograda,"Građevinska ograda od mobilnih čeličnih elemenata s rešetkom, uklj. potporne noge od betona i vijčane spojeve između elemenata, izvedba na granici terena.

Visina ograde ca. 2,0 m",380,m,,,,0,
201.070,,Zaštitne mjere,,,,,0,,,
201.080,,Zimski građevinski radovi,,,,,0,,,
201.090,,Privremena rješenja,,,,,0,,,
201.100,,Ostali,,,,,0,,,
202,,Rušilaćki radovi,,,,,0,,,
202.000,,Prethodne napomene,,,,,0,,,
,,ZTV - Dodatni tehnički uvjeti ugovora,"1.) Dodatni ugovoreni tehnički uvjeti su dio opisa usluga te u slučaju narudžbe postaju dio ugovora. Izvođač radova se dakle obavezuje na sve usluge i primjene koje proizlaze iz ovih uvjeta te su one uračunate u cijenu, ukoliko nisu zasebno ponuđene.

2.) Usluge se prikazuju kao neto iznos u državnoj valuti. Važeći zakonski propisani porez na dodanu vrijednost obračunava se zasebno.

3.) U slučaju proturječnosti dodatnih ugovorenih tehničkih uvjeta vrijede prvenstveno podaci iz popisa usluga. U slučaju proturječnosti između popisa usluga i planske dokumentacije koja se predaje prilikom natječaja, vrijedi planska dokumentacija.

4.) Ponuditelj se prije izdavanja ponude detaljno informirao o građevinskim zadaćama koje treba izvesti, ukoliko su povezane s ponuđenim i planiranim uslugama, tako da na temelju popisa usluga nema nikakvih nejasnoća kod obračuna. Naknadne reklamacije koje proizlaze iz nepoznavanja natječajne dokumentacije neće se uvažavati.

5.) Planovi i u njima navedeni objekti koji se izdaju prilikom natječaja služe za informaciju. Ta dokumentacija ponuditelja ne oslobađa od obveze za vlastitim pribavljanjem svih potrebnih informacija za određivanje cijene detaljnim pregledavanjem planskih dokumenata.

6.) Ponuditelj je posjetio lokacije kako bi procijenio sve potrebne usluge. Svi vidljivi uvjeti koji utječu na formiranje cijene uzeti su u obzir prilikom određivanja jedinične cijene.

7.) Organizacija gradilišta za vlastite potrebe uračunata je u cijenu, ukoliko nije ponuđena kao zasebna stavka.

8.) Sve potrebne naprave za podizanje, skele, strojevi, alati, pomoćna sredstva i konstrukcije uzeti su u obzir te su uračunati u cijenu.

9.) Skele za radove na fasadi i radove na krovu predmet su ovog natječaja. Ponuditelj smije koristiti postojeće skele uz poštivanje sigurnosnih uvjeta i na vlastitu odgovornost. Preinake na skelama nisu dozvoljene te se one moraju predati u ispravnom stanju u kojem su i preuzete.

10.) Struju i vodu na gradilištu osigurava odjeljak za organizaciju gradilišta od mjesta distribucije odnosno crpljenja za sve ostale usluge i radove.

11.) Ponuditelj je obvezan redovno prikupljati i pravilno odložiti sve otpadne materijale, ostatke, krhotine, građevinski otpad, ambalaže, obični otpad i slično o vlastitom trošku. Kod odlaganja otpada potrebno je pridržavati se svih javnopravnih uputa i propisa.

12.) Onečišćenja koja uslijed radova nastaju na susjednim terenima, zgradama, putovima, cestama, trgovima i slično, izvođač radova svakodnevno treba očistiti.

13.) Izvođač preuzima odgovornost za osiguravanje, skladištenje i spremanje vlastitih građevinskih naprava, strojeva, uređaja, alata i slično. Jednako vrijedi i za građevinske materijale, elemente i za ugradnju određenih uređaja i objekata sve do primopredaje obavljenih građevinskih usluga.

14.) Građevinski i konstrukcijski elementi se prilikom izvođenja radova odgovarajućim mjerama trebaju zaštititi od onečišćenja i oštećenja. Jednako tako i izvođač treba zaštititi vlastite usluge sve do primopredaje obavljenih građevinskih usluga.

15.) Sve potrebne mjere prema javnopravnim uputama i propisima za sigurnost i zaštitu zdravlja trebaju se uzeti u obzir te ih se treba pridržavati prilikom izvođenja radova.

16.) Prilikom izdavanja ponude i izvođenja radova treba se uzeti u obzir, uračunati i pridržavati se
- svih državnih i javnopravnih zakona, smjernica i propisa
- svih odgovarajućih tehničkih standarda, pravila i smjernica
- općeprihvaćenih pravila tehnike
- uputa, propisa i napomena proizvođača za ugradnju i obradu
- Kauflandovih građevinskih opisa, ugovorenih uvjeta i ostalih Kauflandovih dokumenata i planova
.

17.) Navedene usluge podrazumijevaju se kao gotove, potpune i funkcionirajuće, uklj. sve potrebne male dijelove i sredstva za pričvršćivanje, pomoćne materijale i sredstva, podkonstrukcije itd., kao i sve dodatne i posebne usluge - čak i kada one nisu detaljno opisane.

18.) Ako su treće stranke uključene u izvođenje predradnji, izvođač radova ih treba provjeravati. U slučaju nepravilnosti ili prigovora pravovremeno treba informirati naručitelja, tako da može tehnički i organizacijski dovršiti poslove.

19.) Obavezno se treba pridržavati svih Kauflandovih proizvodnih uputa, osim ako postoje opravdani razlozi za odstupanje (npr. dostupnost). U tom slučaju izvođač treba ponuditi istovjetni proizvod ili sustav te potvrditi istovjetnost. O njoj odlučuje naručitelj.

20.) Sustavi se izvode isključivo pomoću komponenata koje su predviđene od strane proizvođača sustava.

21.) Svi materijali, građevinski elementi i uređaji koji neposredno utječu na izgled i funkcionalnost prije ugradnje se trebaju provjeriti. Ugrađuju se tek nakon što naručitelj ili ovlaštena osoba odobri ugradnju na gradilištu. O vrsti i obliku predloška odlučuje naručitelj.

22.) Ukoliko nisu ponuđene kao posebne stavke, troškovi za projektiranje usluga trebaju se uračunati u cijene pojedinih radova. Opseg projektiranja ovisno o radnji i potrebi može uključivati lokalno mjerenje, statičke proračune, planiranje radova, proizvodnje, detalja i montaže na temelju Kauflandovih podataka i izradu revizijskih dokumenata.

23.) Sve konstrukcije, načini gradnje i sustavi moraju biti izvedeni tako da mogu prihvatiti odnosno kompenzirati uobičajene i dozvoljene tolerancije u pripremnim radovima odnosno u tlu.

24.) Otežane okolnosti koje su uvjetovane godišnjim dobom ili vremenskim uvjetima i koje se u normalnim uvjetima trebaju uzeti u obzir, ne predstavljaju opravdan razlog za dodatne troškove ili produženje rokova izvođenja. U slučaju dvojbe izvođač mora dokazati prisutnost izvanrednih okolnosti.

25.) Ovisno o gradilištu i uslugama potrebno je uzeti u obzir i uračunati sljedeće primjene i usluge, čak i ako nisu izričito navedene u popisu usluga:
- sve vrste transporta građevinskih materijala, elemenata, uređaja, objekata itd. do mjesta ugradnje
- potrebne i uobičajene pripreme i predobrade tla
- sve vrste bušenja, zavarivanja, lijepljenja, malih dijelova, sredstava za pričvršćivanje, međupoložaja, izolacije, brtvljenja, folija, spojeva itd. koje su potrebne za priključak, montažu i pričvršćivanje građevinskih dijelova i elemenata
- stručna priprema i priključak na sve okolne dijelove, ugradbene i nadgradne elemente i propuste
- sve izrade kutova, spojnih površina i elemenata, završnih elemenata, slobodnih krajeva itd.
- sve podloge za montažu, priključak i pričvršćivanje kao što su beton, zidani elementi, čelik, aluminij, limovi, gips karton, itd.
- potrebne spojne, kose i okrugle rezove te ostatke rezanja
- Izrada otvora i proreza za instalacije i ugradbene elemente drugih izvođača
- interno povezivanje kablovima i priključak objekata, dovod prema električnim trošilima na gradilištu od strane elektro izvođača",,,,,,,
,,Posao rušenja,"Ukoliko u nastavku nije navedeno drugačije, sve usluge uključuju:
- Rušenje, demontažu i rastavljanje, uklj. svih radova ugradnje, pripreme i dogradnje na konstrukciji
- Razdvajanje rezova u slučaju djelomičnog rušenja ili djelomičnog rastavljanja
- Usitnjavanje
- Razdvajanje svih građevinskih elemenata i materijala u otpad i korisne materijale
- Utovar, odvoz i ispravno odlaganje prema javnopravnim propisima
- Spremanje svih izvađenih građevinskih elemenata i materijala na hrpe, u jarke ili kontejnere unutar gradilišta
- Zaštitu skladištenih građevinskih elemenata i materijala od oborina sve do trenutka odvoza
- Provjeru materijala kako bi se ispravno odložili prema javnopravnim propisima
- Pažnju, zaštitu i skladištenje dijelova koji se trebaju sačuvati, kako bi se spriječila ili koliko je moguće izbjegla oštećenja i onečišćenja",,,,,,,
202.010,,Cijela zgrada,,,,,0,,,
202.020,,Nosiva konstrukcija,,,,,0,,,
202.030,,Fasade,,,,,0,,,
202.040,,Krovopokrivački,,,,,0,,,
202.050,,Parkirna platforma,,,,,0,,,
202.050.00100,,- rušenje asfalta,Rušenje ulaznog asfalta debljine cca 10 cm,40,m2,,,,0,
202.060,,Unutarnji radovi,,,,,0,,,
202.060.00100,,- strojno zascjecanje postojećeg asfalta na mjestu spoja sa novim asfaltom/rubnjakom,Strojno zasijecanje asfaltnih slojeva postojećeg kolnika na mjestima spoja novih i postojećih asfaltnih površina. Uključujući zasijecanje za potrebe spoja kanalizacijske cijevi na postojeću oborinsku u ul. Ivana Gundulića (O.T.U. 1-03.2 - Knjiga I),96,m,,,,0,
202.060.00105,,- Lokalno izmještanje vertikalne prometne signalizacije A14,"Postojeći prometni stup s postojećim prometnim znakom A14 koji se premješta lokalno na novu poziciju udaljenu 3 m od postojeće pozicije. Stavka uključuje sve potrebne radove za premještaj FeZn stupa Ø 60,3 mm dužine 2,1 m, s prometnim znakom, lokalno na novu poziciju, uključujući izradu novog betonskog temelja prema detalju iz projekta. Sve prema Pravilniku o prometnim znakovima, singalizaciji i opremi na cestama.",1,kom,,,,0,
202.070,,Strojarski sustavi,,,,,0,,,
202.080,,Vanjski sadržaji,,,,,0,,,
202.080.00100,,- Rušenje rubnjaka,"Rušenje rubnih ovojnica od betona kao što su visoki i spušteni rubnici, itd., s različitim pojedinačnim dimenzijama, uklj. temelj odnosno stražnji potporanj. - na ulazu u parcelu",14,m,,,,0,
203,,Zemljani radovi,,,,,0,,,
203.000,,Prethodne napomene,,,,,0,,,
